Generating RangedArray(valueRange: 5000) : ArrayList...
Generating RandomicArray(arraySize: 100, valueRange: 5000) : ArrayList...
FindKey: 4231 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1357 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 3731
FindKey: 2764 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 2193 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 2825
FindKey: 3139 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 3077
FindKey:  121 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 655
FindKey: 1005 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 707
FindKey: 4045 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 3781
FindKey: 1413 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3269 | FindTime: 0,000261 ms | FindComparisons:    1 | ValueOfKey: 4070
FindKey: 4016 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 1453
FindKey:  608 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 1859
FindKey: 1111 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1330 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3122 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 2121
FindKey:  713 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4511 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 387
FindKey: 1862 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3725 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 486
FindKey: 1074 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3773 | FindTime: 0,000785 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  563 | FindTime: 0,001047 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4592 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 297
FindKey: 1790 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1691 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 38
FindKey: 4173 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 2279
FindKey:  118 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4503 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 3130
FindKey: 2173 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 610
FindKey: 1752 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 3415
FindKey: 1575 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1649 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 4076
FindKey:  639 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 3525
FindKey: 3076 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  147 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 2942
FindKey: 3734 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 67
FindKey: 1710 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3086 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 4901
FindKey: 2930 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 2041
FindKey:   54 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 3844
FindKey: 4510 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 474
FindKey: 3444 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 158
FindKey: 3753 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 2418 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 1755
FindKey:  707 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1532 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 4175
FindKey: 3872 | FindTime: 0,000786 ms | FindComparisons:    1 | ValueOfKey: 1696
FindKey: 3045 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  900 | FindTime: 0,000261 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3906 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4359 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4361 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 24
FindKey: 4793 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 159
FindKey: 4756 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4933 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 3129
FindKey:  698 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 2857
FindKey: 3045 | FindTime: 0,000785 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3131 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1731 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 4934
FindKey:  408 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 172
FindKey: 1358 | FindTime: 0,000785 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 1064 | FindTime: 0,000785 ms | FindComparisons:    1 | ValueOfKey: 27
FindKey: 3221 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey:  350 | FindTime: 0,000785 ms | FindComparisons:    1 | ValueOfKey: 4335
FindKey: 2561 | FindTime: 0,000261 ms | FindComparisons:    1 | ValueOfKey: 2762
FindKey: 4129 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 810
FindKey: 1384 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 2554 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 1181
FindKey:  659 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4191 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 3572
FindKey:  730 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 3089 | FindTime: 0,000262 ms | FindComparisons:    1 | ValueOfKey: 4538
FindKey: 1547 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: Not Found
FindKey: 4765 | FindTime: 0,000523 ms | FindComparisons:    1 | ValueOfKey: 2679
FindKey: 4226 | FindTime: 0,000524 ms | FindComparisons:    1 | ValueOfKey: 2908
